,Page_id,Page_Name,Visual_ID,Visualization,Title
0,ReportSection76c409e0c333d60bb1e2,Key Influencers,34e7aef4128551587644,shape,Horizontal Shape
1,ReportSection76c409e0c333d60bb1e2,Key Influencers,12fa9c9344677b408cb6,image,Image
2,ReportSection76c409e0c333d60bb1e2,Key Influencers,4c79df2300b2c66b70d7,shape,Horizontal Shape
3,ReportSection76c409e0c333d60bb1e2,Key Influencers,1dfd4cf8102cac37b5dd,shape,Horizontal Shape
4,ReportSection76c409e0c333d60bb1e2,Key Influencers,dffa0f419ae872471ebc,barChart,Revenue Won by Product
5,ReportSection76c409e0c333d60bb1e2,Key Influencers,ec80685720004c638d61,keyDriversVisual,Key Influencers
6,ReportSection76c409e0c333d60bb1e2,Key Influencers,01af2f16cdd3b0443588,barChart,Close % by Product category
7,ReportSectionacd41c847407a998c130,Decomposition Tree,a7b296b5c94566b512e8,image,Image
8,ReportSectionacd41c847407a998c130,Decomposition Tree,7d6f3ce91a223240b354,shape,Horizontal Shape
9,ReportSectionacd41c847407a998c130,Decomposition Tree,44a925a1da0779cac015,shape,Horizontal Shape
10,ReportSectionacd41c847407a998c130,Decomposition Tree,f0feb1f525b708331499,shape,Horizontal Shape
11,ReportSectionacd41c847407a998c130,Decomposition Tree,954d6f9432c76cbb2ca1,decompositionTreeVisual,Decomposition tree
12,ReportSectionacd41c847407a998c130,Decomposition Tree,24a67f1afa332056d39b,barChart,Opportunity Count by Region
13,ReportSectionacd41c847407a998c130,Decomposition Tree,143a9f40e6397414f4d5,barChart,Sales Opportunity by Campaign Type
14,ReportSectionacd41c847407a998c130,Decomposition Tree,a7b296b5c94566b512e8,image,Image
15,ReportSectionacd41c847407a998c130,Decomposition Tree,7d6f3ce91a223240b354,shape,Horizontal Shape
16,ReportSectionacd41c847407a998c130,Decomposition Tree,44a925a1da0779cac015,shape,Horizontal Shape
17,ReportSectionacd41c847407a998c130,Decomposition Tree,f0feb1f525b708331499,shape,Horizontal Shape
18,ReportSectionacd41c847407a998c130,Decomposition Tree,954d6f9432c76cbb2ca1,decompositionTreeVisual,Decomposition tree
19,ReportSectionacd41c847407a998c130,Decomposition Tree,24a67f1afa332056d39b,barChart,Opportunity Count by Region
20,ReportSectionacd41c847407a998c130,Decomposition Tree,143a9f40e6397414f4d5,barChart,Sales Opportunity by Campaign Type
